frame,H_star,J_k,E_k,grad_residual_k,centroid2_k,in_K0,qp_all_optimal,dissipation_slack_u_command
0,0.9753948396589078,0.08879385933331921,3.7207708927888487e-07,0.09407341829891464,2.914125866684228,1,1,-0.0004213614541796126
1,0.9628850554287633,0.09261212764258639,3.939854405923051e-07,0.09663427909426843,2.8723530822445893,1,1,-0.00044103676547352887
2,0.949968722734891,0.09650527825498842,2.597675689193013e-07,0.09928624041076219,2.8281590390020726,1,1,-0.00043557944070791825
3,0.9366725698235505,0.10030207334774258,2.2164168646525454e-07,0.10199779325529622,2.778615114130351,1,1,-0.00042850804323275524
4,0.9230135434050991,0.10305530332549859,2.0521143916622225e-07,0.1047461780303047,2.72616499103916,1,1,-0.0004421202650710266
5,0.9090377991092901,0.10587246395714386,1.662017429376048e-07,0.10747900965271223,2.6729758024474206,1,1,-0.0004533611681080407
6,0.8947558495941959,0.10800545234537343,1.7757023545725287e-07,0.11023626561646223,2.6186719729968897,1,1,-0.0004473388046165455
7,0.8802315249804902,0.1093333833668946,1.0959200171681566e-07,0.11304166698762755,2.561366411838673,1,1,-0.0004314052959392533
8,0.8655253233965823,0.11054688380086242,1.2336530879801706e-07,0.11574562838671118,2.5025924793216943,1,1,-0.0004395091302276076
9,0.8506345354901093,0.11130614609122733,8.215671165073727e-08,0.11839753690168696,2.444119607144164,1,1,-0.0004328582053859716
10,0.8356098727063521,0.1120660628969943,9.715948864937225e-08,0.12092396996630754,2.385564023473756,1,1,-0.00041533017712513075
11,0.8204752103905583,0.11284518446220948,9.337832545650678e-08,0.12337370844672015,2.325627081464914,1,1,-0.0004076290755633191
12,0.8052318810341506,0.11360499022863477,7.933463845846168e-08,0.12557877768705059,2.264016965562715,1,1,-0.00040788897515394926
13,0.7898930982536418,0.11441650765569054,5.760619515801954e-08,0.12766918436213007,2.203411003901774,1,1,-0.00040464406706009967
14,0.7744688817931954,0.11524520974488353,5.3797299358308636e-08,0.1294695896822049,2.143495068805852,1,1,-0.00039541145097929387
15,0.7589805456184234,0.11610292444842649,4.453014645896542e-08,0.13096155553176453,2.0838259746389323,1,1,-0.0003812709801218131
16,0.7434476127152747,0.11701168988849622,3.245855003572574e-08,0.1322528751897104,2.0236113336628727,1,1,-0.0003746210774714289
17,0.7278736959291594,0.11798210026256854,2.7403413431932672e-08,0.13334338766878046,1.9637908516566291,1,1,-0.0003731034237104795
18,0.7122622939023427,0.11904390530655413,2.343353648717885e-08,0.1342911430348588,1.9051937239515941,1,1,-0.000374997661122152
19,0.6966130621357572,0.12016108780812437,6.611115376822225e-08,0.13496259900202834,1.847256651577299,1,1,-0.0003515539281388688
20,0.6809626568982261,0.12115902816666269,5.729390103448233e-08,0.13471050299476037,1.7882267194022439,1,1,-0.0003212806434225151
21,0.66536315115971,0.12208831498668127,3.161835236583302e-08,0.13369943371820972,1.7285124547599917,1,1,-0.0003215385292984884
22,0.6498189455296419,0.1223719520618543,2.8899192207580758e-08,0.1321006108840138,1.6688658955635547,1,1,-0.0003214432751690831
23,0.6343970915837478,0.12304142403427107,4.211205801478669e-08,0.1300375153126423,1.609078350207906,1,1,-0.0002861073384932446
24,0.6191403034290965,0.12388548222797198,3.933515829848318e-08,0.12753833412702936,1.5500038228445758,1,1,-0.00028980477867912406
25,0.6040194510618084,0.12484477305985328,5.729137426111706e-08,0.12489747741119972,1.4923845738933643,1,1,-0.00028077641102462053
26,0.5890469317053241,0.12447183863188338,4.617700150386995e-08,0.12189804899332152,1.4345894323565707,1,1,-0.0002776637857435371
27,0.5743062550035892,0.12344951364155382,2.5365841716549126e-08,0.11882697929855113,1.3777484383716736,1,1,-0.0002866340158746601
